Model,Layer1,Layer2,Delta_acc1,Delta_acc2,Accuracy,Delta_acc
1,features.stage1.unit1.quant_act,features.stage1.unit1.conv1,1.442,0.518,67.07,5.746
2,features.stage1.unit1.quant_act,features.stage1.unit1.quant_act1,1.442,1.214,66.012,6.804
3,features.stage1.unit1.quant_act,features.stage1.unit1.conv2,1.442,12.57,56.304,16.512
4,features.stage1.unit1.quant_act,features.stage1.unit1.quant_act2,1.442,0.156,66.994,5.822
5,features.stage1.unit1.quant_act,features.stage1.unit1.conv3,1.442,3.648,64.418,8.398
6,features.stage1.unit1.quant_act,features.stage2.unit1.quant_act,1.442,41.426,23.73,49.086
7,features.stage1.unit1.quant_act,features.stage2.unit1.conv1,1.442,0.122,66.79,6.026
8,features.stage1.unit1.quant_act,features.stage2.unit1.quant_act1,1.442,0.206,66.866,5.95
9,features.stage1.unit1.quant_act,features.stage2.unit1.conv2,1.442,0.832,66.894,5.922
10,features.stage1.unit1.quant_act,features.stage2.unit1.quant_act2,1.442,0.572,66.51,6.306
11,features.stage1.unit1.quant_act,features.stage2.unit1.conv3,1.442,4.912,62.446,10.37
12,features.stage1.unit1.quant_act,features.stage2.unit2.quant_act,1.442,17.802,52.798,20.018
13,features.stage1.unit1.quant_act,features.stage2.unit2.conv1,1.442,0.182,66.952,5.864
14,features.stage1.unit1.quant_act,features.stage2.unit2.quant_act1,1.442,0.066,66.878,5.938
15,features.stage1.unit1.quant_act,features.stage2.unit2.conv2,1.442,1.136,65.042,7.774
16,features.stage1.unit1.quant_act,features.stage2.unit2.quant_act2,1.442,0.056,67.154,5.662
17,features.stage1.unit1.quant_act,features.stage2.unit2.conv3,1.442,5.398,60.572,12.244
18,features.stage1.unit1.quant_act,features.stage3.unit1.quant_act,1.442,66.144,3.88,68.936
19,features.stage1.unit1.quant_act,features.stage3.unit1.conv1,1.442,0.21,66.606,6.21
20,features.stage1.unit1.quant_act,features.stage3.unit1.quant_act1,1.442,0.016,67.078,5.738
21,features.stage1.unit1.quant_act,features.stage3.unit1.conv2,1.442,0.112,67.186,5.63
22,features.stage1.unit1.quant_act,features.stage3.unit1.quant_act2,1.442,0.104,67.098,5.718
23,features.stage1.unit1.quant_act,features.stage3.unit1.conv3,1.442,2.15,65.062,7.754
24,features.stage1.unit1.quant_act,features.stage3.unit2.quant_act,1.442,5.764,61.384,11.432
25,features.stage1.unit1.quant_act,features.stage3.unit2.conv1,1.442,0.088,67.116,5.7
26,features.stage1.unit1.quant_act,features.stage3.unit2.quant_act1,1.442,0.194,67.048,5.768
27,features.stage1.unit1.quant_act,features.stage3.unit2.conv2,1.442,0.716,67.046,5.77
28,features.stage1.unit1.quant_act,features.stage3.unit2.quant_act2,1.442,0.094,67.108,5.708
29,features.stage1.unit1.quant_act,features.stage3.unit2.conv3,1.442,0.424,66.106,6.71
30,features.stage1.unit1.quant_act,features.stage3.unit3.quant_act,1.442,3.742,60.452,12.364
31,features.stage1.unit1.quant_act,features.stage3.unit3.conv1,1.442,0.136,67.068,5.748
32,features.stage1.unit1.quant_act,features.stage3.unit3.quant_act1,1.442,0.068,67.054,5.762
33,features.stage1.unit1.quant_act,features.stage3.unit3.conv2,1.442,0.212,66.756,6.06
34,features.stage1.unit1.quant_act,features.stage3.unit3.quant_act2,1.442,0.002,67.07,5.746
35,features.stage1.unit1.quant_act,features.stage3.unit3.conv3,1.442,0.436,67.07,5.746
36,features.stage1.unit1.quant_act,features.stage4.unit1.quant_act,1.442,68.704,2.344,70.472
37,features.stage1.unit1.quant_act,features.stage4.unit1.conv1,1.442,0.158,67.004,5.812
38,features.stage1.unit1.quant_act,features.stage4.unit1.quant_act1,1.442,0.03,67.172,5.644
39,features.stage1.unit1.quant_act,features.stage4.unit1.conv2,1.442,0.132,67.104,5.712
40,features.stage1.unit1.quant_act,features.stage4.unit1.quant_act2,1.442,0.078,66.976,5.84
41,features.stage1.unit1.quant_act,features.stage4.unit1.conv3,1.442,3.168,63.364,9.452
42,features.stage1.unit1.quant_act,features.stage4.unit2.quant_act,1.442,6.462,54.584,18.232
43,features.stage1.unit1.quant_act,features.stage4.unit2.conv1,1.442,0.012,66.998,5.818
44,features.stage1.unit1.quant_act,features.stage4.unit2.quant_act1,1.442,0.09,67.092,5.724
45,features.stage1.unit1.quant_act,features.stage4.unit2.conv2,1.442,0.076,66.444,6.372
46,features.stage1.unit1.quant_act,features.stage4.unit2.quant_act2,1.442,0.082,67.156,5.66
47,features.stage1.unit1.quant_act,features.stage4.unit2.conv3,1.442,0.136,67.102,5.714
48,features.stage1.unit1.quant_act,features.stage4.unit3.quant_act,1.442,1.478,64.806,8.01
49,features.stage1.unit1.quant_act,features.stage4.unit3.conv1,1.442,0.13,67.022,5.794
50,features.stage1.unit1.quant_act,features.stage4.unit3.quant_act1,1.442,0.06,67.042,5.774
51,features.stage1.unit1.quant_act,features.stage4.unit3.conv2,1.442,0.02,66.986,5.83
52,features.stage1.unit1.quant_act,features.stage4.unit3.quant_act2,1.442,0.102,67.088,5.728
53,features.stage1.unit1.quant_act,features.stage4.unit3.conv3,1.442,0.324,66.652,6.164
54,features.stage1.unit1.quant_act,features.stage4.unit4.quant_act,1.442,1.69,65.09,7.726
