model,Layer,DeltaAcc,Influence,DeltaBops
1,features.stage1.unit1.quant_act,1.442,-0.460639403,0.404619264
2,features.stage1.unit1.conv1,0.518,-0.675909673,0.404619264
3,features.stage1.unit1.quant_act1,1.214,-0.1719367,0.109182976
4,features.stage1.unit1.conv2,12.57,,0.109182976
5,features.stage1.unit1.quant_act2,0.156,-0.081747511,0.202309632
6,features.stage1.unit1.conv3,3.648,,0.202309632
7,features.stage2.unit1.quant_act,41.426,,0.597295104
8,features.stage2.unit1.conv1,0.122,0.176874111,0.597295104
9,features.stage2.unit1.quant_act1,0.206,0.040036273,0.327548928
10,features.stage2.unit1.conv2,0.832,-0.020288051,0.327548928
11,features.stage2.unit1.quant_act2,0.572,0.155387624,0.920027136
12,features.stage2.unit1.conv3,4.912,,0.920027136
13,features.stage2.unit2.quant_act,17.802,,1.358364672
14,features.stage2.unit2.conv1,0.182,-0.051233997,1.358364672
15,features.stage2.unit2.quant_act1,0.066,0.17033357,0.491323392
16,features.stage2.unit2.conv2,1.136,0.510603841,0.491323392
17,features.stage2.unit2.quant_act2,0.056,0.01779303,1.382449152
18,features.stage2.unit2.conv3,5.398,,1.382449152
19,features.stage3.unit1.quant_act,66.144,,0.339591168
20,features.stage3.unit1.conv1,0.21,0.130306543,0.339591168
21,features.stage3.unit1.quant_act1,0.016,0.025928165,0.122830848
22,features.stage3.unit1.conv2,0.112,-0.21647724,0.122830848
23,features.stage3.unit1.quant_act2,0.104,-0.007017781,0.460816384
24,features.stage3.unit1.conv3,2.15,,0.460816384
25,features.stage3.unit2.quant_act,5.764,,0.606928896
26,features.stage3.unit2.conv1,0.088,-0.122639403,0.606928896
27,features.stage3.unit2.quant_act1,0.194,-0.043693457,0.163774464
28,features.stage3.unit2.conv2,0.716,-0.497990754,0.163774464
29,features.stage3.unit2.quant_act2,0.094,-0.117585349,0.614957056
30,features.stage3.unit2.conv3,0.424,0.707955192,0.614957056
31,features.stage3.unit3.quant_act,3.742,,0.606928896
32,features.stage3.unit3.conv1,0.136,-0.115179943,0.606928896
33,features.stage3.unit3.quant_act1,0.068,-0.060693457,0.163774464
34,features.stage3.unit3.conv2,0.212,0.021495733,0.163774464
35,features.stage3.unit3.quant_act2,0.002,0.02779303,0.614957056
36,features.stage3.unit3.conv3,0.436,-0.25947724,0.614957056
37,features.stage4.unit1.quant_act,68.704,,0.151732224
38,features.stage4.unit1.conv1,0.158,0.100766003,0.151732224
39,features.stage4.unit1.quant_act1,0.03,-0.0119367,0.040943616
40,features.stage4.unit1.conv2,0.132,-0.143288051,0.040943616
41,features.stage4.unit1.quant_act2,0.078,-0.007152916,0.307478528
42,features.stage4.unit1.conv3,3.168,,0.307478528
43,features.stage4.unit2.quant_act,6.462,,0.611745792
44,features.stage4.unit2.conv1,0.012,0.085036273,0.611745792
45,features.stage4.unit2.quant_act1,0.09,-0.029639403,0.081887232
46,features.stage4.unit2.conv2,0.076,0.49779303,0.081887232
47,features.stage4.unit2.quant_act2,0.082,-0.064801565,0.615759872
48,features.stage4.unit2.conv3,0.136,-0.099693457,0.615759872
49,features.stage4.unit3.quant_act,1.478,,0.611745792
50,features.stage4.unit3.conv1,0.13,-0.101828592,0.611745792
51,features.stage4.unit3.quant_act1,0.06,-0.034450213,0.081887232
52,features.stage4.unit3.conv2,0.02,0.034549787,0.081887232
53,features.stage4.unit3.quant_act2,0.102,-0.088909673,0.615759872
54,features.stage4.unit3.conv3,0.324,0.089603841,0.615759872
55,features.stage4.unit4.quant_act,1.69,,0.152936448
