Model,Layer1,Layer2,Delta_acc1,Delta_acc2,Accuracy,Delta_acc
1,stage1.unit1.quant_act,stage1.unit1.quant_convbn1,14.946,2.546,64.2,13.278
2,stage1.unit1.quant_act,stage1.unit1.quant_act1,14.946,0.512,62.244,15.234
3,stage1.unit1.quant_act,stage1.unit1.quant_convbn2,14.946,0.66,63.052,14.426
4,stage1.unit1.quant_act,stage1.unit1.quant_act2,14.946,0.514,62.236,15.242
5,stage1.unit1.quant_act,stage1.unit1.quant_convbn3,14.946,0.992,61.558,15.92
6,stage1.unit1.quant_act,stage1.unit2.quant_act,14.946,0.306,61.578,15.9
7,stage1.unit1.quant_act,stage1.unit2.quant_convbn1,14.946,0.276,62.098,15.38
8,stage1.unit1.quant_act,stage1.unit2.quant_act1,14.946,0.538,61.33,16.148
9,stage1.unit1.quant_act,stage1.unit2.quant_convbn2,14.946,0.194,62.77,14.708
10,stage1.unit1.quant_act,stage1.unit2.quant_act2,14.946,0.124,62.06,15.418
11,stage1.unit1.quant_act,stage1.unit2.quant_convbn3,14.946,0.226,62.702,14.776
12,stage1.unit1.quant_act,stage1.unit3.quant_act,14.946,0.19,61.474,16.004
13,stage1.unit1.quant_act,stage1.unit3.quant_convbn1,14.946,0.298,62.746,14.732
14,stage1.unit1.quant_act,stage1.unit3.quant_act1,14.946,0.078,62.474,15.004
15,stage1.unit1.quant_act,stage1.unit3.quant_convbn2,14.946,0.15,62.424,15.054
16,stage1.unit1.quant_act,stage1.unit3.quant_act2,14.946,0.146,62.33,15.148
17,stage1.unit1.quant_act,stage1.unit3.quant_convbn3,14.946,0.168,62.404,15.074
18,stage1.unit1.quant_act,stage2.unit1.quant_act,14.946,0.616,60.962,16.516
19,stage1.unit1.quant_act,stage2.unit1.quant_convbn1,14.946,0.196,62.658,14.82
20,stage1.unit1.quant_act,stage2.unit1.quant_act1,14.946,0.082,62.394,15.084
21,stage1.unit1.quant_act,stage2.unit1.quant_convbn2,14.946,0.154,62.87,14.608
22,stage1.unit1.quant_act,stage2.unit1.quant_act2,14.946,0.104,62.506,14.972
23,stage1.unit1.quant_act,stage2.unit1.quant_convbn3,14.946,0.344,61.674,15.804
24,stage1.unit1.quant_act,stage2.unit2.quant_act,14.946,0.086,62.68,14.798
25,stage1.unit1.quant_act,stage2.unit2.quant_convbn1,14.946,0.094,62.446,15.032
26,stage1.unit1.quant_act,stage2.unit2.quant_act1,14.946,0.126,62.342,15.136
27,stage1.unit1.quant_act,stage2.unit2.quant_convbn2,14.946,0.21,62.194,15.284
28,stage1.unit1.quant_act,stage2.unit2.quant_act2,14.946,0.04,62.456,15.022
29,stage1.unit1.quant_act,stage2.unit2.quant_convbn3,14.946,0.018,62.738,14.74
30,stage1.unit1.quant_act,stage2.unit3.quant_act,14.946,0.11,62.574,14.904
31,stage1.unit1.quant_act,stage2.unit3.quant_convbn1,14.946,0.152,62.468,15.01
32,stage1.unit1.quant_act,stage2.unit3.quant_act1,14.946,0.116,62.682,14.796
33,stage1.unit1.quant_act,stage2.unit3.quant_convbn2,14.946,0.102,62.67,14.808
34,stage1.unit1.quant_act,stage2.unit3.quant_act2,14.946,0.132,62.134,15.344
35,stage1.unit1.quant_act,stage2.unit3.quant_convbn3,14.946,0.07,62.844,14.634
36,stage1.unit1.quant_act,stage2.unit4.quant_act,14.946,0.734,59.528,17.95
37,stage1.unit1.quant_act,stage2.unit4.quant_convbn1,14.946,0.314,62.264,15.214
38,stage1.unit1.quant_act,stage2.unit4.quant_act1,14.946,0.406,62.238,15.24
39,stage1.unit1.quant_act,stage2.unit4.quant_convbn2,14.946,0.158,62.226,15.252
40,stage1.unit1.quant_act,stage2.unit4.quant_act2,14.946,0.324,61.746,15.732
41,stage1.unit1.quant_act,stage2.unit4.quant_convbn3,14.946,0.162,62.474,15.004
42,stage1.unit1.quant_act,stage3.unit1.quant_act,14.946,2.506,58.606,18.872
43,stage1.unit1.quant_act,stage3.unit1.quant_convbn1,14.946,0.044,62.268,15.21
44,stage1.unit1.quant_act,stage3.unit1.quant_act1,14.946,1.498,59.84,17.638
45,stage1.unit1.quant_act,stage3.unit1.quant_convbn2,14.946,0.146,62.49,14.988
46,stage1.unit1.quant_act,stage3.unit1.quant_act2,14.946,6.106,49.47,28.008
47,stage1.unit1.quant_act,stage3.unit1.quant_convbn3,14.946,0.168,62.084,15.394
48,stage1.unit1.quant_act,stage3.unit2.quant_act,14.946,0.324,62.598,14.88
49,stage1.unit1.quant_act,stage3.unit2.quant_convbn1,14.946,0.038,62.544,14.934
50,stage1.unit1.quant_act,stage3.unit2.quant_act1,14.946,1.442,59.498,17.98
51,stage1.unit1.quant_act,stage3.unit2.quant_convbn2,14.946,0.162,62.586,14.892
52,stage1.unit1.quant_act,stage3.unit2.quant_act2,14.946,0.53,60.74,16.738
53,stage1.unit1.quant_act,stage3.unit2.quant_convbn3,14.946,0.106,62.486,14.992
54,stage1.unit1.quant_act,stage3.unit3.quant_act,14.946,0.246,61.698,15.78
55,stage1.unit1.quant_act,stage3.unit3.quant_convbn1,14.946,0.25,62.574,14.904
56,stage1.unit1.quant_act,stage3.unit3.quant_act1,14.946,1.5,58.95,18.528
57,stage1.unit1.quant_act,stage3.unit3.quant_convbn2,14.946,0.174,62.754,14.724
58,stage1.unit1.quant_act,stage3.unit3.quant_act2,14.946,6.144,50.05,27.428
59,stage1.unit1.quant_act,stage3.unit3.quant_convbn3,14.946,0.176,62.41,15.068
60,stage1.unit1.quant_act,stage3.unit4.quant_act,14.946,0.43,61.472,16.006
61,stage1.unit1.quant_act,stage3.unit4.quant_convbn1,14.946,-0.036,62.488,14.99
62,stage1.unit1.quant_act,stage3.unit4.quant_act1,14.946,0.708,61.944,15.534
63,stage1.unit1.quant_act,stage3.unit4.quant_convbn2,14.946,0.156,62.34,15.138
64,stage1.unit1.quant_act,stage3.unit4.quant_act2,14.946,1.102,60.102,17.376
65,stage1.unit1.quant_act,stage3.unit4.quant_convbn3,14.946,0.194,62.462,15.016
66,stage1.unit1.quant_act,stage3.unit5.quant_act,14.946,0.308,61.556,15.922
67,stage1.unit1.quant_act,stage3.unit5.quant_convbn1,14.946,0.17,62.29,15.188
68,stage1.unit1.quant_act,stage3.unit5.quant_act1,14.946,1.986,58.768,18.71
69,stage1.unit1.quant_act,stage3.unit5.quant_convbn2,14.946,0.14,62.584,14.894
70,stage1.unit1.quant_act,stage3.unit5.quant_act2,14.946,3.05,56.018,21.46
71,stage1.unit1.quant_act,stage3.unit5.quant_convbn3,14.946,0.096,62.496,14.982
