model,Layer,Accuracy,DeltaAcc,Influence,DeltaBops
1,stage1.unit1.quant_act,62.532,14.946,,0.407830528
2,stage1.unit1.quant_convbn1,74.932,2.546,,0.407830528
3,stage1.unit1.quant_act1,76.966,0.512,-0.063169048,3.696164864
4,stage1.unit1.quant_convbn2,76.818,0.66,,3.696164864
5,stage1.unit1.quant_act2,76.964,0.514,,1.631322112
6,stage1.unit1.quant_convbn3,76.486,0.992,,1.631322112
7,stage1.unit2.quant_act,77.172,0.306,0.00837381,1.640955904
8,stage1.unit2.quant_convbn1,77.202,0.276,-0.047854762,1.640955904
9,stage1.unit2.quant_act1,76.94,0.538,,3.696164864
10,stage1.unit2.quant_convbn2,77.284,0.194,-0.062654762,3.696164864
11,stage1.unit2.quant_act2,77.354,0.124,0.020030952,1.631322112
12,stage1.unit2.quant_convbn3,77.252,0.226,0.009830952,1.631322112
13,stage1.unit3.quant_act,77.288,0.19,-0.025340476,1.640955904
14,stage1.unit3.quant_convbn1,77.18,0.298,-0.108911905,1.640955904
15,stage1.unit3.quant_act1,77.4,0.078,0.013630952,3.696164864
16,stage1.unit3.quant_convbn2,77.328,0.15,-0.040540476,3.696164864
17,stage1.unit3.quant_act2,77.332,0.146,-0.016083333,1.631322112
18,stage1.unit3.quant_convbn3,77.31,0.168,-0.027140476,1.631322112
19,stage2.unit1.quant_act,76.862,0.616,,3.281911808
20,stage2.unit1.quant_convbn1,77.282,0.196,-0.054054762,3.281911808
21,stage2.unit1.quant_act1,77.396,0.082,0.017688095,3.697770496
22,stage2.unit1.quant_convbn2,77.324,0.154,0.039430952,3.697770496
23,stage2.unit1.quant_act2,77.374,0.104,-0.008883333,1.63774464
24,stage2.unit1.quant_convbn3,77.134,0.344,-0.090340476,1.63774464
25,stage2.unit2.quant_act,77.392,0.086,0.031002381,1.642561536
26,stage2.unit2.quant_convbn1,77.384,0.094,0.013859524,1.642561536
27,stage2.unit2.quant_act1,77.352,0.126,0.001002381,3.697770496
28,stage2.unit2.quant_convbn2,77.268,0.21,-0.011254762,3.697770496
29,stage2.unit2.quant_act2,77.438,0.04,0.006488095,1.63774464
30,stage2.unit2.quant_convbn3,77.46,0.018,0.000116667,1.63774464
31,stage2.unit3.quant_act,77.368,0.11,0.013859524,1.642561536
32,stage2.unit3.quant_convbn1,77.326,0.152,0.042116667,1.642561536
33,stage2.unit3.quant_act1,77.362,0.116,0.021145238,3.697770496
34,stage2.unit3.quant_convbn2,77.376,0.102,0.009345238,3.697770496
35,stage2.unit3.quant_act2,77.346,0.132,-0.029940476,1.63774464
36,stage2.unit3.quant_convbn3,77.408,0.07,0.061602381,1.63774464
37,stage2.unit4.quant_act,76.744,0.734,,1.642561536
38,stage2.unit4.quant_convbn1,77.164,0.314,-0.02722619,1.642561536
39,stage2.unit4.quant_act1,77.072,0.406,-0.063597619,3.697770496
40,stage2.unit4.quant_convbn2,77.32,0.158,-0.033397619,3.697770496
41,stage2.unit4.quant_act2,77.154,0.324,-0.055083333,1.63774464
42,stage2.unit4.quant_convbn3,77.316,0.162,-0.00022619,1.63774464
43,stage3.unit1.quant_act,74.972,2.506,,3.285123072
44,stage3.unit1.quant_convbn1,77.434,0.044,0.082602381,3.285123072
45,stage3.unit1.quant_act1,75.98,1.498,,3.698573312
46,stage3.unit1.quant_convbn2,77.332,0.146,0.017030952,3.698573312
47,stage3.unit1.quant_act2,71.372,6.106,,1.640955904
48,stage3.unit1.quant_convbn3,77.31,0.168,0.027402381,1.640955904
49,stage3.unit2.quant_act,77.154,0.324,0.02177381,1.643364352
50,stage3.unit2.quant_convbn1,77.44,0.038,0.03797381,1.643364352
51,stage3.unit2.quant_act1,76.036,1.442,,3.698573312
52,stage3.unit2.quant_convbn2,77.316,0.162,-0.046997619,3.698573312
53,stage3.unit2.quant_act2,76.948,0.53,,1.640955904
54,stage3.unit2.quant_convbn3,77.372,0.106,-0.021283333,1.640955904
55,stage3.unit3.quant_act,77.232,0.246,0.036345238,1.643364352
56,stage3.unit3.quant_convbn1,77.228,0.25,-0.075111905,1.643364352
57,stage3.unit3.quant_act1,75.978,1.5,,3.698573312
58,stage3.unit3.quant_convbn2,77.304,0.174,-0.014054762,3.698573312
59,stage3.unit3.quant_act2,71.334,6.144,,1.640955904
60,stage3.unit3.quant_convbn3,77.302,0.176,-0.060054762,1.640955904
61,stage3.unit4.quant_act,77.048,0.43,-0.006597619,1.643364352
62,stage3.unit4.quant_convbn1,77.514,-0.036,0.087145238,1.643364352
63,stage3.unit4.quant_act1,76.77,0.708,,3.698573312
64,stage3.unit4.quant_convbn2,77.322,0.156,-0.022911905,3.698573312
65,stage3.unit4.quant_act2,76.376,1.102,,1.640955904
66,stage3.unit4.quant_convbn3,77.284,0.194,-0.054711905,1.640955904
67,stage3.unit5.quant_act,77.17,0.308,-0.013797619,1.643364352
68,stage3.unit5.quant_convbn1,77.308,0.17,-0.016140476,1.643364352
69,stage3.unit5.quant_act1,75.492,1.986,,3.698573312
70,stage3.unit5.quant_convbn2,77.338,0.14,-0.036769048,3.698573312
71,stage3.unit5.quant_act2,74.428,3.05,,1.640955904
72,stage3.unit5.quant_convbn3,77.382,0.096,0.000459524,1.640955904
73,stage3.unit6.quant_act,77.056,0.422,0.117459524,1.643364352
74,stage3.unit6.quant_convbn1,77.298,0.18,-0.000340476,1.643364352
75,stage3.unit6.quant_act1,76.454,1.024,,3.698573312
76,stage3.unit6.quant_convbn2,77.362,0.116,0.06057381,3.698573312
77,stage3.unit6.quant_act2,73.166,4.312,,1.640955904
78,stage3.unit6.quant_convbn3,77.362,0.116,0.023059524,1.640955904
79,stage4.unit1.quant_act,65.214,12.264,,3.286728704
80,stage4.unit1.quant_convbn1,77.328,0.15,-0.005111905,3.286728704
81,stage4.unit1.quant_act1,77.222,0.256,-0.005169048,3.69897472
82,stage4.unit1.quant_convbn2,77.412,0.066,0.046545238,3.69897472
83,stage4.unit1.quant_act2,77.328,0.15,0.005230952,1.642561536
84,stage4.unit1.quant_convbn3,77.43,0.048,0.09077381,1.642561536
85,stage4.unit2.quant_act,76.184,1.294,,1.64376576
86,stage4.unit2.quant_convbn1,77.262,0.216,-0.000540476,1.64376576
87,stage4.unit2.quant_act1,77.356,0.122,0.047488095,3.69897472
88,stage4.unit2.quant_convbn2,77.454,0.024,0.04817381,3.69897472
89,stage4.unit2.quant_act2,77.426,0.052,0.075030952,1.642561536
90,stage4.unit2.quant_convbn3,77.33,0.148,-0.030283333,1.642561536
91,stage4.unit3.quant_act,76.378,1.1,,1.64376576
92,stage4.unit3.quant_convbn1,77.17,0.308,0.031202381,1.64376576
93,stage4.unit3.quant_act1,77.256,0.222,-0.013283333,3.69897472
94,stage4.unit3.quant_convbn2,77.226,0.252,-0.015711905,3.69897472
95,stage4.unit3.quant_act2,76.966,0.512,0.028316667,1.642561536
96,stage4.unit3.quant_convbn3,77.332,0.146,0.010459524,1.642561536
